sample,pop,depthZone,popDepth
001,Alacranes,25,Alacranes-25
002,Alacranes,25,Alacranes-25
003,Alacranes,25,Alacranes-25
004,Alacranes,25,Alacranes-25
005,Alacranes,25,Alacranes-25
007,Alacranes,25,Alacranes-25
008,Alacranes,15,Alacranes-15
009,Alacranes,15,Alacranes-15
010,Alacranes,15,Alacranes-15
011,Alacranes,10,Alacranes-10
012,Alacranes,10,Alacranes-10
014,Alacranes,10,Alacranes-10
015,Alacranes,10,Alacranes-10
017,Alacranes,35,Alacranes-35
018,Alacranes,35,Alacranes-35
019,Alacranes,35,Alacranes-35
020,Alacranes,35,Alacranes-35
021,Alacranes,35,Alacranes-35
022,Alacranes,35,Alacranes-35
023,Alacranes,35,Alacranes-35
024,Alacranes,35,Alacranes-35
025,Alacranes,15,Alacranes-15
026,Alacranes,15,Alacranes-15
028,Alacranes,15,Alacranes-15
030,Alacranes,15,Alacranes-15
033,Alacranes,10,Alacranes-10
034,Alacranes,10,Alacranes-10
035,Alacranes,10,Alacranes-10
036,Alacranes,10,Alacranes-10
037,Alacranes,10,Alacranes-10
038,Alacranes,10,Alacranes-10
040,Alacranes,10,Alacranes-10
041,Alacranes,10,Alacranes-10
042,Alacranes,10,Alacranes-10
043,Alacranes,10,Alacranes-10
044,Alacranes,10,Alacranes-10
045,Alacranes,10,Alacranes-10
046,Alacranes,15,Alacranes-15
047,Alacranes,15,Alacranes-15
049,Alacranes,15,Alacranes-15
050,Alacranes,15,Alacranes-15
051,Alacranes,35,Alacranes-35
052,Alacranes,35,Alacranes-35
053,Alacranes,35,Alacranes-35
054,Alacranes,35,Alacranes-35
055,Alacranes,35,Alacranes-35
056,Alacranes,35,Alacranes-35
057,Alacranes,35,Alacranes-35
058,Alacranes,25,Alacranes-25
059,Alacranes,25,Alacranes-25
060,Alacranes,25,Alacranes-25
061,Alacranes,25,Alacranes-25
062,Alacranes,25,Alacranes-25
063,Alacranes,25,Alacranes-25
064,Alacranes,25,Alacranes-25
065,Alacranes,25,Alacranes-25
066,Alacranes,25,Alacranes-25
067,Bajos del Norte,35,Bajos del Norte-35
068,Bajos del Norte,35,Bajos del Norte-35
069,Bajos del Norte,35,Bajos del Norte-35
070,Bajos del Norte,35,Bajos del Norte-35
071,Bajos del Norte,35,Bajos del Norte-35
072,Bajos del Norte,35,Bajos del Norte-35
073,Bajos del Norte,35,Bajos del Norte-35
074,Bajos del Norte,35,Bajos del Norte-35
075,Bajos del Norte,35,Bajos del Norte-35
076,Bajos del Norte,35,Bajos del Norte-35
077,Bajos del Norte,35,Bajos del Norte-35
078,Bajos del Norte,15,Bajos del Norte-15
079,Bajos del Norte,15,Bajos del Norte-15
080,Bajos del Norte,15,Bajos del Norte-15
081,Bajos del Norte,15,Bajos del Norte-15
082,Bajos del Norte,15,Bajos del Norte-15
083,Bajos del Norte,15,Bajos del Norte-15
084,Bajos del Norte,15,Bajos del Norte-15
085,Bajos del Norte,15,Bajos del Norte-15
087,Bajos del Norte,10,Bajos del Norte-10
089,Bajos del Norte,10,Bajos del Norte-10
090,Bajos del Norte,10,Bajos del Norte-10
091,Bajos del Norte,10,Bajos del Norte-10
092,Bajos del Norte,10,Bajos del Norte-10
093,Bajos del Norte,10,Bajos del Norte-10
095,Bajos del Norte,15,Bajos del Norte-15
096,Bajos del Norte,15,Bajos del Norte-15
097,Bajos del Norte,15,Bajos del Norte-15
100,Bajos del Norte,15,Bajos del Norte-15
101,Bajos del Norte,10,Bajos del Norte-10
103,Bajos del Norte,10,Bajos del Norte-10
106,Bajos del Norte,10,Bajos del Norte-10
107,Bajos del Norte,10,Bajos del Norte-10
109,Bajos del Norte,25,Bajos del Norte-25
112,Bajos del Norte,25,Bajos del Norte-25
114,Bajos del Norte,25,Bajos del Norte-25
115,Bajos del Norte,25,Bajos del Norte-25
119,Bajos del Norte,25,Bajos del Norte-25
121,Bajos del Norte,25,Bajos del Norte-25
123,Bajos del Norte,25,Bajos del Norte-25