sample,cluster1,cluster2,popDepth
1,0.000000001,0.999999999,Alacranes-25
2,0.999999999,0.000000001,Alacranes-25
3,8.0328E-07,0.999999197,Alacranes-25
4,0.875775292,0.124224708,Alacranes-25
5,0.032101186,0.967898814,Alacranes-25
7,0.000000001,0.999999999,Alacranes-25
8,0.000000001,0.999999999,Alacranes-15
9,0.004038823,0.995961177,Alacranes-15
10,0.025342546,0.974657454,Alacranes-15
11,1.27778E-06,0.999998722,Alacranes-10
12,0.013009755,0.986990245,Alacranes-10
14,0.016289044,0.983710956,Alacranes-10
15,0.027760366,0.972239634,Alacranes-10
17,0.999999999,0.000000001,Alacranes-35
18,0.902911472,0.097088528,Alacranes-35
19,0.999999999,0.000000001,Alacranes-35
20,0.000000001,0.999999999,Alacranes-35
21,0.05794179,0.94205821,Alacranes-35
22,0.999999999,0.000000001,Alacranes-35
23,0.000000001,0.999999999,Alacranes-35
24,0.999999999,0.000000001,Alacranes-35
25,0.000000001,0.999999999,Alacranes-15
26,0.078091231,0.921908769,Alacranes-15
28,0.032813011,0.967186989,Alacranes-15
30,0.000000001,0.999999999,Alacranes-15
33,0.030092103,0.969907897,Alacranes-10
34,0.021290232,0.978709768,Alacranes-10
35,0.030600564,0.969399436,Alacranes-10
36,0.012555096,0.987444904,Alacranes-10
37,0.019505586,0.980494414,Alacranes-10
38,0.000000001,0.999999999,Alacranes-10
40,0.005538529,0.994461471,Alacranes-10
41,0.066833234,0.933166766,Alacranes-10
42,0.003451953,0.996548047,Alacranes-10
43,0.027141658,0.972858342,Alacranes-10
44,0.046122685,0.953877315,Alacranes-10
45,0.009697547,0.990302453,Alacranes-10
46,0.012947997,0.987052003,Alacranes-15
47,0.000000001,0.999999999,Alacranes-15
49,0.000000001,0.999999999,Alacranes-15
50,0.000000001,0.999999999,Alacranes-15
51,0.999999999,0.000000001,Alacranes-35
52,0.999999999,0.000000001,Alacranes-35
53,0.999999999,0.000000001,Alacranes-35
54,0.999999999,0.000000001,Alacranes-35
55,0.999999999,0.000000001,Alacranes-35
56,0.999999999,0.000000001,Alacranes-35
57,0.000000001,0.999999999,Alacranes-35
58,0.000000001,0.999999999,Alacranes-25
59,0.01762269,0.98237731,Alacranes-25
60,0.000387326,0.999612674,Alacranes-25
61,1.03051E-09,0.999999999,Alacranes-25
62,0.024877207,0.975122793,Alacranes-25
63,0.030928766,0.969071234,Alacranes-25
64,0.000000001,0.999999999,Alacranes-25
65,0.037192414,0.962807586,Alacranes-25
66,0.041172942,0.958827058,Alacranes-25
67,0.999999999,0.000000001,Bajos del Norte-35
68,1.71243E-06,0.999998288,Bajos del Norte-35
69,0.999999999,0.000000001,Bajos del Norte-35
70,0.000000001,0.999999999,Bajos del Norte-35
71,0.999999999,0.000000001,Bajos del Norte-35
72,0.000000001,0.999999999,Bajos del Norte-35
73,0.021610688,0.978389312,Bajos del Norte-35
74,0.000000001,0.999999999,Bajos del Norte-35
75,0.00864075,0.99135925,Bajos del Norte-35
76,0.000000001,0.999999999,Bajos del Norte-35
77,0.000000001,0.999999999,Bajos del Norte-35
78,0.000000001,0.999999999,Bajos del Norte-15
79,0.000154638,0.999845362,Bajos del Norte-15
80,0.000000001,0.999999999,Bajos del Norte-15
81,0.000000001,0.999999999,Bajos del Norte-15
82,0.026794601,0.973205399,Bajos del Norte-15
83,0.058291147,0.941708853,Bajos del Norte-15
84,0.037094728,0.962905272,Bajos del Norte-15
85,0.154600666,0.845399334,Bajos del Norte-15
87,0.537137775,0.462862225,Bajos del Norte-10
89,0.000000001,0.999999999,Bajos del Norte-10
90,0.005926688,0.994073312,Bajos del Norte-10
91,0.021965933,0.978034067,Bajos del Norte-10
92,4.49167E-09,0.999999996,Bajos del Norte-10
93,0.026552359,0.973447641,Bajos del Norte-10
95,0.084687225,0.915312775,Bajos del Norte-15
96,6.11418E-09,0.999999994,Bajos del Norte-15
97,0.032599321,0.967400679,Bajos del Norte-15
100,0.000000001,0.999999999,Bajos del Norte-15
101,0.003408117,0.996591883,Bajos del Norte-10
103,0.001918883,0.998081117,Bajos del Norte-10
106,0.000000001,0.999999999,Bajos del Norte-10
107,3.99045E-06,0.99999601,Bajos del Norte-10
109,0.083131838,0.916868162,Bajos del Norte-25
112,0.000248311,0.999751689,Bajos del Norte-25
114,0.035692118,0.964307882,Bajos del Norte-25
115,0.031518552,0.968481448,Bajos del Norte-25
119,0.000602242,0.999397758,Bajos del Norte-25
121,0.03107946,0.96892054,Bajos del Norte-25
123,0.139430668,0.860569332,Bajos del Norte-25